x, y
0.1967880443338939, 1.0618967376934486e-25
0.2154627732840837, 8.273153579423732e-26
0.2339293361481236, 9.464873776981597e-26
0.2590332051786386, 1.0152217559016368e-25
0.28437593549839035, 9.097502515899885e-26
0.32653877939589543, 9.130077193865231e-26
0.36215701886545115, 8.413654148010501e-26
0.38986297712494977, 6.643914682058465e-26
0.4331735759410054, 7.340652920414768e-26
0.47133777396508136, 8.315341782101988e-26
0.5015946368035873, 6.896550017359296e-26
0.5260140748616388, 4.8721083003943384e-26
0.5519916101678373, 3.3149304655184716e-26
0.5700139149467932, 2.3801437734676142e-26
0.6183501596965346, 2.3333368450397503e-26
0.6583015441582851, 3.045379088601112e-26
0.7015974727706275, 3.988934337483732e-26
0.7563897041037269, 4.403008633491904e-26
0.8163042189132399, 3.4414578301453073e-26
0.8904078159226751, 3.387711365282726e-26
0.9739261242241856, 4.457820835698324e-26
1.024108998845012, 6.15717318211326e-26
1.0871465713236017, 8.331363671620274e-26
1.163508879040443, 9.517718189653779e-26
1.2369900651822274, 7.178508035123407e-26
1.312581515282151, 4.9969059655323835e-26
1.3831066851529226, 3.767756395470492e-26
1.5373165879252877, 4.010374723371195e-26
1.6210473361784572, 5.711585537789537e-26
1.7207328135350854, 9.217083898484381e-26
1.7881083922228556, 1.3517021812377322e-25
1.9178244316159778, 2.0115262235415651e-25
2.105455087018999, 2.3922373848274735e-25
2.3038425341419413, 1.853430821018471e-25
2.4496836675861884, 1.4534536585810353e-25
2.63804844375765, 1.14923289009309e-25
2.974798149047057, 1.1876142319591648e-25
3.2934853056681863, 1.4571548242525226e-25
3.5811520808013957, 2.1723335775274357e-25
3.7145224692322656, 3.251685944349607e-25
3.931076996842229, 4.736968910559327e-25
4.24660738626771, 6.501499951369073e-25
4.680197795833389, 7.486743977932202e-25
5.204920766923124, 6.444557259153665e-25
5.488871158818846, 4.833991166367461e-25
5.742928488661516, 3.3427794885576e-25
6.236527158471886, 2.380919584994615e-25
6.88020957659049, 2.3211362229964155e-25
7.823497822383979, 3.2700648917805695e-25
8.96115870134563, 3.709868690493558e-25
9.95916471797431, 4.620886359099767e-25
10.698353783703794, 6.754287548780696e-25
11.529349099191124, 9.358616828852817e-25
12.551786486855885, 9.21627682911657e-25
13.811370848956134, 7.949156277594742e-25
15.626654909478589, 9.471210833000137e-25
18.636764001039456, 1.5018647956460983e-24
20.741277164803577, 2.1402824465060998e-24
23.048671206759952, 3.1033677803975827e-24
25.784204545143762, 3.390612026923473e-24
29.47845225408258, 4.7277729350022565e-24
33.35387280022151, 6.87877615876119e-24
36.874479372439694, 1.1421813607164254e-23
40.88415998643613, 2.166287954359584e-23
